(FJX_spec 05e) UCI J-v8.4(Xwts) (6/05) JPL02+irHNO4+IUPAC/NO2/VOC+Blitz         
H1301  210 5.995E-20 8.157E-20 9.414E-20 1.083E-19 1.321E-19 1.358E-19
           1.256E-19 1.097E-19 7.420E-22 5.469E-21 6.812E-21 1.140E-25
           7.189E-27 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
H1301  298 5.443E-20 7.368E-20 8.466E-20 9.680E-20 1.181E-19 1.235E-19
           1.170E-19 1.049E-19 1.370E-21 6.546E-21 6.959E-21 3.799E-25
           2.397E-26 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
H2402  210 1.118E-18 1.232E-18 1.270E-18 1.304E-18 1.288E-18 1.169E-18
           1.064E-18 9.201E-19 2.046E-20 6.816E-20 6.284E-20 1.589E-23
           4.517E-24 1.709E-24 8.065E-25 8.668E-28 0.000E+00 0.000E+00
H2402  298 1.022E-18 1.134E-18 1.176E-18 1.220E-18 1.211E-18 1.099E-18
           1.004E-18 8.980E-19 2.562E-20 6.784E-20 6.078E-20 3.972E-23
           1.129E-23 4.273E-24 2.016E-24 2.167E-27 0.000E+00 0.000E+00
CH2Br2 210 1.982E-18 1.960E-18 2.055E-18 2.218E-18 2.152E-18 2.271E-18
           2.588E-18 3.087E-18 1.541E-19 4.402E-19 2.912E-19 7.301E-23
           4.779E-24 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CH2Br2 298 2.008E-18 1.986E-18 2.083E-18 2.247E-18 2.209E-18 2.274E-18
           2.409E-18 2.574E-18 1.724E-19 3.517E-19 2.268E-19 2.555E-22
           1.991E-23 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CHBr3  210 5.606E-18 4.297E-18 4.044E-18 3.942E-18 4.624E-18 4.751E-18
           5.084E-18 5.540E-18 7.789E-19 8.739E-19 5.382E-19 7.277E-21
           1.884E-21 5.782E-22 2.108E-22 2.464E-23 2.023E-25 0.000E+00
CHBr3  296 5.669E-18 4.295E-18 3.954E-18 3.754E-18 4.281E-18 4.543E-18
           4.825E-18 5.243E-18 8.965E-19 8.578E-19 5.134E-19 1.610E-20
           4.872E-21 1.700E-21 7.082E-22 9.393E-23 9.635E-25 0.000E+00
CH3I   210 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.783E-24
           3.728E-20 4.778E-20 8.226E-19 2.018E-19 6.421E-20 2.746E-20
           8.256E-21 3.546E-21 1.827E-21 3.465E-22 2.334E-24 0.000E+00
CH3I   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.783E-24
           3.728E-20 4.778E-20 8.408E-19 2.444E-19 9.306E-20 4.597E-20
           1.511E-20 6.445E-21 3.295E-21 6.746E-22 9.724E-24 0.000E+00
CF3I   210 7.620E-21 3.866E-21 2.383E-21 1.653E-21 1.770E-21 2.842E-21
           4.166E-21 6.221E-21 5.769E-19 3.687E-19 2.029E-19 1.214E-19
           4.279E-20 1.637E-20 7.403E-21 1.178E-21 1.211E-23 0.000E+00
CF3I   300 7.620E-21 3.866E-21 2.383E-21 1.653E-21 1.770E-21 2.842E-21
           4.166E-21 6.221E-21 5.173E-19 3.588E-19 2.280E-19 1.529E-19
           6.501E-20 2.933E-20 1.454E-20 2.599E-21 3.820E-23 0.000E+00
OCS    225 2.260E-20 2.637E-20 2.915E-20 2.346E-20 6.030E-20 1.225E-19
           1.688E-19 2.185E-19 1.001E-20 3.890E-20 2.315E-20 9.117E-25
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
OCS    295 3.160E-20 3.500E-20 3.614E-20 2.440E-20 5.990E-20 1.216E-19
           1.685E-19 2.190E-19 1.388E-20 4.353E-20 2.365E-20 2.955E-24
