ATAU   250     1.120     0.010  CLOUD-top sub-layers: max#, factor, min dtau
NW-SCATTER   56  ! Scattering phase fns, scale extinct @ 999 nm    (mjp 99/07)
 w(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
17 Mdust 0.4 = mineral dust (R.V.Martin)
  300  2.6069  0.400  2500.0  0.739 1.000 2.192 3.070 3.393 3.903 4.021  4.248  4.168
  400  2.8244  0.400  2500.0  0.860 1.000 2.027 2.711 2.679 2.900 2.734  2.723  2.478
  600  3.1156  0.400  2500.0  0.971 1.000 2.017 2.537 2.306 2.136 1.761  1.466  1.151
  999  2.4773  0.400  2500.0  0.975 1.000 2.036 2.286 1.903 1.428 0.966  0.623  0.368
18 Mdust 0.8 = mineral dust (R.V.Martin)
  300  2.3457  0.800  2500.0  0.640 1.000 2.517 3.780 4.729 5.755 6.524  7.339  7.903
  400  2.4344  0.800  2500.0  0.763 1.000 2.295 3.320 3.800 4.578 4.913  5.482  5.662
  600  2.6416  0.800  2500.0  0.936 1.000 2.023 2.830 2.805 3.279 3.178  3.418  3.275
  999  3.0396  0.800  2500.0  0.957 1.000 2.019 2.618 2.441 2.414 2.106  1.895  1.610
19 Mdust 1.5 = mineral dust (R.V.Martin)
  300  2.2228  1.500  2650.0  0.579 1.000 2.705 4.250 5.641 7.023 8.293  9.539 10.662
  400  2.2732  1.500  2650.0  0.676 1.000 2.539 3.821 4.771 5.881 6.738  7.733  8.463
  600  2.3707  1.500  2650.0  0.890 1.000 2.240 3.259 3.544 4.375 4.592  5.292  5.471
  999  2.5751  1.500  2650.0  0.913 1.000 2.083 2.944 3.008 3.555 3.538  3.852  3.789
20 Mdust 2.5 = mineral dust (R.V.Martin)
  300  2.1579  2.500  2650.0  0.556 1.000 2.780 4.476 6.085 7.664 9.186 10.673 12.096
  400  2.1923  2.500  2650.0  0.616 1.000 2.678 4.164 5.458 6.813 8.046  9.325 10.461
  600  2.2560  2.500  2650.0  0.842 1.000 2.391 3.526 4.044 5.035 5.527  6.483  6.961
  999  2.3716  2.500  2650.0  0.869 1.000 2.268 3.300 3.634 4.458 4.720  5.401  5.624
21 Mdust 4.0 = mineral dust (R.V.Martin)
  300  2.1154  4.000  2650.0  0.550 1.000 2.809 4.574 6.281 7.960 9.607 11.224 12.806
  400  2.1402  4.000  2650.0  0.577 1.000 2.761 4.405 5.941 7.485 8.974 10.462 11.878
  600  2.1852  4.000  2650.0  0.786 1.000 2.505 3.744 4.488 5.599 6.354  7.485  8.238
  999  2.2637  4.000  2650.0  0.819 1.000 2.413 3.563 4.133 5.118 5.652  6.582  7.097
22 S00(rvm) Trop sulfate at RH=00 (n@400=1.44 log-norm: r=.05um/sigma=2.0)
  300  2.1411  0.159  1700.0  1.0000  1.000 2.107 2.570 2.325 2.050 1.662 1.353 1.095
  400  1.5786  0.159  1700.0  1.0000  1.000 2.116 2.510 2.228 1.873 1.461 1.126 0.865
  600  0.9088  0.159  1700.0  1.0000  1.000 2.027 2.269 1.885 1.470 1.067 0.765 0.544
 1000  0.3537  0.159  1700.0  1.0000  1.000 1.815 1.865 1.368 0.952 0.619 0.404 0.260
23 S50(rvm) Trop sulfate at RH=50 (n@400=1.38 log-norm: r=.06um/sigma=2.0)
  300  2.3057  0.217  1700.0  1.0000  1.000 2.274 2.963 2.935 2.768 2.430 2.099 1.812
  400  1.8327  0.217  1700.0  1.0000  1.000 2.279 2.900 2.823 2.563 2.172 1.797 1.477
  600  1.1573  0.217  1700.0  1.0000  1.000 2.212 2.679 2.473 2.112 1.683 1.309 1.006
 1000  0.5062  0.217  1700.0  1.0000  1.000 2.033 2.273 1.894 1.469 1.065 0.762 0.536
24 S70(rvm) Trop sulfate at RH=70 (n@400=1.36 log-norm: r=.07um/sigma=2.0)
  300  2.3816  0.241  1700.0  1.0000  1.000 2.302 3.044 3.070 2.945 2.635 2.318 2.034
  400  1.9462  0.241  1700.0  1.0000  1.000 2.310 2.986 2.964 2.743 2.371 1.998 1.673
  600  1.2726  0.241  1700.0  1.0000  1.000 2.254 2.782 2.632 2.298 1.874 1.488 1.167
 1000  0.5840  0.241  1700.0  1.0000  1.000 2.089 2.388 2.053 1.635 1.218 0.891 0.642
25 S80(rvm) Trop sulfate at RH=80 (n@400=1.36 log-norm: r=.07um/sigma=2.0)
  300  2.4415  0.260  1700.0  1.0000  1.000 2.317 3.092 3.153 3.060 2.773 2.471 2.196
  400  2.0391  0.260  1700.0  1.0000  1.000 2.328 3.040 3.054 2.862 2.508 2.142 1.816
  600  1.3726  0.260  1700.0  1.0000  1.000 2.280 2.851 2.740 2.429 2.011 1.620 1.289
 1000  0.6501  0.260  1700.0  1.0000  1.000 2.130 2.473 2.173 1.765 1.340 0.997 0.730
26 S90(rvm) Trop sulfate at RH=90 (n@400=1.35 log-norm: r=.08um/sigma=2.0)
  300  2.5294  0.297  1700.0  1.0000  1.000 2.337 3.166 3.281 3.244 3.002 2.733 2.479
  400  2.1924  0.297  1700.0  1.0000  1.000 2.352 3.121 3.194 3.053 2.733 2.386 2.067
  600  1.5527  0.297  1700.0  1.0000  1.000 2.319 2.958 2.912 2.643 2.243 1.850 1.506
 1000  0.7869  0.297  1700.0  1.0000  1.000 2.189 2.606 2.366 1.979 1.547 1.181 0.887
27 S95(rvm) Trop sulfate at RH=95 (n@400=1.35 log-norm: r=.10um/sigma=2.0)
  300  2.6088  0.347  1700.0  1.0000  1.000 2.349 3.227 3.392 3.420 3.232 3.012 2.796
  400  2.3545  0.347  1700.0  1.0000  1.000 2.370 3.194 3.323 3.242 2.967 2.652 2.353
  600  1.7709  0.347  1700.0  1.0000  1.000 2.352 3.060 3.083 2.866 2.494 2.107 1.759
 1000  0.9688  0.347  1700.0  1.0000  1.000 2.248 2.746 2.577 2.222 1.791 1.405 1.085
28 S99(rvm) Trop sulfate at RH=99 (n@400=1.34 log-norm: r=.14um/sigma=2.0)
  300  2.6638  0.498  1700.0  1.0000  1.000 2.355 3.326 3.577 3.760 3.717 3.648 3.566
  400  2.6086  0.498  1700.0  1.0000  1.000 2.384 3.311 3.540 3.603 3.454 3.252 3.045
  600  2.2570  0.498  1700.0  1.0000  1.000 2.395 3.233 3.387 3.301 3.021 2.691 2.372
 1000  1.4906  0.498  1700.0  1.0000  1.000 2.346 3.015 3.005 2.751 2.356 1.957 1.601
29 BC00(rvm) Black C, RH=00 (n@400=1.75-.46i log-norm: r=.01um/sigma=2.0)
  300  1.0643  0.039  1000.0  0.3128  1.000 1.361 1.201 0.710 0.410 0.231 0.135 0.080
  400  0.7563  0.039  1000.0  0.2672  1.000 1.189 1.018 0.514 0.262 0.131 0.069 0.037
  600  0.4289  0.039  1000.0  0.1920  1.000 0.961 0.828 0.324 0.135 0.056 0.024 0.011
 1000  0.2166  0.039  1000.0  0.0964  1.000 0.672 0.661 0.167 0.048 0.013 0.003 0.001
30 BC50(rvm) Black C, RH=50 (n@400=1.75-.46i log-norm: r=.01um/sigma=2.0)
  300  1.0643  0.039  1000.0  0.3128  1.000 1.361 1.201 0.710 0.410 0.231 0.135 0.080
  400  0.7563  0.039  1000.0  0.2672  1.000 1.189 1.018 0.514 0.262 0.131 0.069 0.037
  600  0.4289  0.039  1000.0  0.1920  1.000 0.961 0.828 0.324 0.135 0.056 0.024 0.011
 1000  0.2166  0.039  1000.0  0.0964  1.000 0.672 0.661 0.167 0.048 0.013 0.003 0.001
31 BC70(rvm) Black C, RH=70 (n@400=1.75-.46i log-norm: r=.01um/sigma=2.0)
  300  1.0643  0.039  1000.0  0.3128  1.000 1.361 1.201 0.710 0.410 0.231 0.135 0.080
  400  0.7563  0.039  1000.0  0.2672  1.000 1.189 1.018 0.514 0.262 0.131 0.069 0.037
  600  0.4289  0.039  1000.0  0.1920  1.000 0.961 0.828 0.324 0.135 0.056 0.024 0.011
 1000  0.2166  0.039  1000.0  0.0964  1.000 0.672 0.661 0.167 0.048 0.013 0.003 0.001
32 BC80(rvm) Black C, RH=80 (n@400=1.57-.27i log-norm: r=.01um/sigma=2.0)
  300  0.9310  0.047  1000.0  0.3604  1.000 1.626 1.530 1.035 0.659 0.407 0.255 0.160
  400  0.6525  0.047  1000.0  0.3131  1.000 1.438 1.291 0.768 0.439 0.245 0.140 0.081
  600  0.3640  0.047  1000.0  0.2331  1.000 1.171 1.022 0.490 0.236 0.112 0.055 0.028
 1000  0.1808  0.047  1000.0  0.1220  1.000 0.827 0.768 0.254 0.089 0.030 0.010 0.003
33 BC90(rvm) Black C, RH=90 (n@400=1.48-.17i log-norm: r=.02um/sigma=2.0)
  300  0.8554  0.055  1000.0  0.4318  1.000 1.811 1.807 1.338 0.919 0.608 0.402 0.266
  400  0.5876  0.055  1000.0  0.3839  1.000 1.623 1.535 1.017 0.635 0.384 0.234 0.144
  600  0.3186  0.055  1000.0  0.2989  1.000 1.341 1.206 0.664 0.356 0.187 0.101 0.054
 1000  0.1518  0.055  1000.0  0.1666  1.000 0.966 0.879 0.350 0.143 0.057 0.023 0.008
34 BC95(rvm) Black C, RH=95 (n@400=1.45-.14i log-norm: r=.02um/sigma=2.0)
  300  0.8369  0.059  1000.0  0.4723  1.000 1.882 1.925 1.476 1.046 0.712 0.481 0.325
  400  0.5692  0.059  1000.0  0.4251  1.000 1.697 1.644 1.136 0.735 0.459 0.288 0.181
  600  0.3039  0.059  1000.0  0.3389  1.000 1.414 1.293 0.750 0.420 0.229 0.128 0.071
 1000  0.1411  0.059  1000.0  0.1961  1.000 1.029 0.935 0.399 0.174 0.074 0.032 0.013
35 BC99(rvm) Black C, RH=99 (n@400=1.39-.07i log-norm: r=.02um/sigma=2.0)
  300  0.8533  0.075  1000.0  0.6328  1.000 2.076 2.294 1.941 1.506 1.109 0.802 0.576
  400  0.5647  0.075  1000.0  0.5956  1.000 1.914 2.001 1.554 1.117 0.765 0.519 0.350
