Cloud-J v7.5+ NEW extended cloud scattering and absorption for 12:18 (old FJ) & 19:27 (+RRTM)
  03 = liquid-water Mie, ice-water irregular&warm, ice-water hexagonal&cold
  06 = number of effective radii (microns)
Use bin#12 for bins#1:#11 (very little light in trop)
water clouds use std Mie with liquid-water refr index & C1/Deirmenjian gamma distrib: alfa=6, Reff given, rho=1.00
ice   clouds use Mie with ice-water refr index to get PI0, Q, rho = 0.917
           scattering uses Mishchenko 8-term phase fn for all sizes with cold (hexag) & warm (irreg)
FJ# Weff Reff  Geff  NReal NImag   Q-ext PI0=ssa P1:P7
Liquid Water 1.00000
16 0.333 24.0 1251. 1.328 4.3E-09 2.036 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
16 0.333 48.0 5004. 1.328 4.3E-09 2.023 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
16 0.333 95.519927. 1.328 4.3E-09 2.014 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794

17 0.383  3.0  19.5 1.321 3.0E-09 2.168 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
17 0.383  6.0  78.2 1.321 3.0E-09 2.103 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
17 0.383 12.0 312.8 1.321 3.0E-09 2.065 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
17 0.383 24.0 1251. 1.321 3.0E-09 2.039 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
17 0.383 48.0 5004. 1.321 3.0E-09 2.025 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
17 0.383 95.519927. 1.321 3.0E-09 2.016 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794

18 0.599  3.0  19.5 1.310 1.7E-08 2.211 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
18 0.599  6.0  78.2 1.310 1.7E-08 2.137 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
18 0.599 12.0 312.8 1.310 1.7E-08 2.085 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
18 0.599 24.0 1251. 1.310 1.7E-08 2.054 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
18 0.599 48.0 5004. 1.310 1.7E-08 2.034 0.99998 2.257 3.164 4.096 5.088 6.018 6.897 7.794
18 0.599 95.519927. 1.310 1.7E-08 2.021 0.99997 2.257 3.164 4.096 5.088 6.018 6.897 7.794

19 0.973  3.0  19.5 1.302 1.7E-06 2.319 0.99994 2.257 3.164 4.096 5.088 6.018 6.897 7.794
19 0.973  6.0  78.2 1.302 1.7E-06 2.196 0.99987 2.257 3.164 4.096 5.088 6.018 6.897 7.794
19 0.973 12.0 312.8 1.302 1.7E-06 2.120 0.99975 2.257 3.164 4.096 5.088 6.018 6.897 7.794
19 0.973 24.0 1251. 1.302 1.7E-06 2.074 0.99953 2.257 3.164 4.096 5.088 6.018 6.897 7.794
19 0.973 48.0 5004. 1.302 1.7E-06 2.047 0.99908 2.257 3.164 4.096 5.088 6.018 6.897 7.794
19 0.973 95.519927. 1.302 1.7E-06 2.029 0.99823 2.257 3.164 4.096 5.088 6.018 6.897 7.794

20 1.270  3.0  19.5 1.297 1.3E-05 2.398 0.99965 2.257 3.164 4.096 5.088 6.018 6.897 7.794
20 1.270  6.0  78.2 1.297 1.3E-05 2.234 0.99920 2.257 3.164 4.096 5.088 6.018 6.897 7.794
20 1.270 12.0 312.8 1.297 1.3E-05 2.144 0.99846 2.257 3.164 4.096 5.088 6.018 6.897 7.794
20 1.270 24.0 1251. 1.297 1.3E-05 2.088 0.99720 2.257 3.164 4.096 5.088 6.018 6.897 7.794
20 1.270 48.0 5004. 1.297 1.3E-05 2.055 0.99459 2.257 3.164 4.096 5.088 6.018 6.897 7.794
20 1.270 95.519927. 1.297 1.3E-05 2.035 0.98956 2.257 3.164 4.096 5.088 6.018 6.897 7.794

21 1.448  3.0  19.5 1.293 2.4E-04 2.497 0.99473 2.257 3.164 4.096 5.088 6.018 6.897 7.794
21 1.448  6.0  78.2 1.293 2.4E-04 2.259 0.98848 2.257 3.164 4.096 5.088 6.018 6.897 7.794
21 1.448 12.0 312.8 1.293 2.4E-04 2.157 0.97821 2.257 3.164 4.096 5.088 6.018 6.897 7.794
