(fort10_06b) UCI J-v8.4 (4/06) JPL02+irHNO4+IUPAC/NO2/VOC+Blitz +flux2006     
           1.867E-18 3.589E-18 4.195E-18 6.168E-18 6.416E-19 0.000E+00
BrO    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           1.867E-18 3.589E-18 4.195E-18 6.168E-18 6.416E-19 0.000E+00
BrNO3  230 0.000E+00 0.000E+00 4.706E-19 4.130E-19 4.049E-18 3.829E-18
           3.342E-18 3.003E-18 5.340E-19 5.991E-19 4.493E-19 2.069E-19
           1.739E-19 1.487E-19 1.264E-19 8.798E-20 3.698E-20 1.433E-21
BrNO3  298 0.000E+00 0.000E+00 5.742E-19 5.079E-19 4.810E-18 4.201E-18
           3.465E-18 3.015E-18 5.525E-19 5.955E-19 4.506E-19 2.094E-19
           1.702E-19 1.421E-19 1.203E-19 8.624E-20 3.697E-20 1.435E-21
HOBr   297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 1.275E-19 2.011E-19 2.203E-19 2.198E-19
           1.727E-19 1.369E-19 1.158E-19 1.125E-19 6.205E-20 2.760E-21
HOBr   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 1.275E-19 2.011E-19 2.203E-19 2.198E-19
           1.727E-19 1.369E-19 1.158E-19 1.125E-19 6.205E-20 2.760E-21
BrCl   295 0.000E+00 0.000E+00 2.231E-21 1.793E-21 2.467E-20 3.703E-20
           4.155E-20 4.525E-20 2.449E-20 1.885E-20 1.089E-20 6.209E-21
           8.067E-21 1.270E-20 2.234E-20 1.002E-19 3.069E-19 2.079E-20
BrCl   298 0.000E+00 0.000E+00 2.231E-21 1.793E-21 2.467E-20 3.703E-20
           4.155E-20 4.525E-20 2.449E-20 1.885E-20 1.089E-20 6.209E-21
           8.067E-21 1.270E-20 2.234E-20 1.002E-19 3.069E-19 2.079E-20
N2O    200 1.065E-19 8.370E-20 6.860E-20 5.030E-20 2.101E-20 6.196E-21
           3.137E-21 2.461E-21 3.187E-25 1.033E-23 4.192E-23 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
N2O    300 1.212E-19 9.913E-20 8.348E-20 6.438E-20 3.032E-20 1.110E-20
           6.355E-21 4.604E-21 1.450E-24 4.001E-23 1.193E-22 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CFCl3  210 2.235E-18 1.654E-18 1.341E-18 9.895E-19 4.775E-19 1.726E-19
           9.677E-20 6.948E-20 3.726E-23 5.742E-22 1.696E-21 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CFCl3  298 2.235E-18 1.654E-18 1.341E-18 9.895E-19 4.896E-19 2.040E-19
           1.270E-19 9.334E-20 9.773E-23 1.292E-21 2.965E-21 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CF2Cl2 210 9.761E-19 5.212E-19 3.336E-19 1.523E-19 3.679E-20 5.682E-21
           2.471E-21 5.890E-21 1.860E-25 6.426E-24 2.757E-23 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CF2Cl2 298 1.011E-18 5.853E-19 4.027E-19 2.183E-19 6.318E-20 1.272E-20
           5.987E-21 8.765E-21 8.059E-25 2.473E-23 8.297E-23 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F113   210 9.497E-19 5.917E-19 4.254E-19 2.482E-19 7.456E-20 1.707E-20
           8.903E-21 1.083E-20 3.433E-24 5.693E-23 1.547E-22 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F113   295 9.511E-19 5.959E-19 4.337E-19 2.628E-19 9.316E-20 2.669E-20
           1.447E-20 1.388E-20 6.622E-24 1.039E-22 2.672E-22 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F114   210 1.201E-19 5.463E-20 3.371E-20 1.594E-20 4.529E-21 9.476E-22
